timestamp,player_num,champion
20180622 154502,0,Zhin
20180622 154502,1,Tyra
20180622 154502,2,Ruckus
20180622 154502,3,Cassie
20180622 154502,4,Pip
20180622 154502,5,Tyra
20180622 154502,6,Barik
20180622 154502,7,Lex
20180622 154502,8,Maeve
20180622 154502,9,Pip
20180622 160110,0,Viktor
20180622 160110,1,Cassie
20180622 160110,2,Khan
20180622 160110,3,Lex
20180622 160110,4,Grover
20180622 160110,5,Pip
20180622 160110,6,Strix
20180622 160110,7,Kinessa
20180622 160110,8,Zhin
20180622 160110,9,Khan
20180622 161843,0,Tyra
20180622 161843,1,Cassie
20180622 161843,2,Makoa
20180622 161843,3,Evie
20180622 161843,4,Jenos
20180622 161843,5,Androxus
20180622 161843,6,Tyra
20180622 161843,7,Ash
20180622 161843,8,Fernando
20180622 161843,9,Jenos
20180622 163528,0,Makoa
20180622 163528,1,Cassie
20180622 163528,2,Strix
20180622 163528,3,Mal'Damba
20180622 163528,4,Talus
20180622 163528,5,Bomb King
20180622 163528,6,Barik
20180622 163528,7,Vivian
20180622 163528,8,Furia
20180622 163528,9,Talus
20180622 181030,0,Grover
20180622 181030,1,Makoa
20180622 181030,2,Cassie
20180622 181030,3,Kinessa
20180622 181030,4,Androxus
20180622 181030,5,Fernando
20180622 181030,6,Seris
20180622 181030,7,Moji
20180622 181030,8,Terminus
20180622 181030,9,Lian
20180622 182756,0,Androxus
20180622 182756,1,Maeve
20180622 182756,2,Vivian
20180622 182756,3,Jenos
20180622 182756,4,Cassie
20180622 182756,5,Zhin
20180622 182756,6,Bomb King
20180622 182756,7,Grover
20180622 182756,8,Pip
20180622 182756,9,Buck
20180622 184555,0,Tyra
20180622 184555,1,Cassie
20180622 184555,2,Ying
20180622 184555,3,Inara
20180622 184555,4,Skye
20180622 184555,5,Makoa
20180622 184555,6,Viktor
20180622 184555,7,Grohk
20180622 184555,8,Skye
20180622 184555,9,Lian
20180622 191841,0,Fernando
20180622 191841,1,Grover
20180622 191841,2,Lex
20180622 191841,3,Cassie
20180622 191841,4,Viktor
20180622 191841,5,Androxus
20180622 191841,6,Makoa
20180622 191841,7,Zhin
20180622 191841,8,Furia
20180622 191841,9,Evie
20180622 202810,0,Ying
20180622 202810,1,Skye
20180622 202810,2,Makoa
20180622 202810,3,Zhin
20180622 202810,4,Cassie
20180622 202810,5,Drogoz
20180622 202810,6,Cassie
20180622 202810,7,Makoa
20180622 202810,8,Viktor
20180622 202810,9,Lex
20180622 204918,0,Viktor
20180622 204918,1,Terminus
20180622 204918,2,Maeve
20180622 204918,3,Seris
20180622 204918,4,Cassie
20180622 204918,5,Ying
20180622 204918,6,Kinessa
20180622 204918,7,Sha Lin
20180622 204918,8,Fernando
20180622 204918,9,Lian
20180622 210707,0,Furia
20180622 210707,1,Cassie
20180622 210707,2,Viktor
20180622 210707,3,Androxus
20180622 210707,4,Khan
20180622 210707,5,Terminus
20180622 210707,6,Jenos
20180622 210707,7,Bomb King
20180622 210707,8,Zhin
20180622 210707,9,Tyra
20180622 222742,0,Cassie
20180622 222742,1,Viktor
20180622 222742,2,Fernando
20180622 222742,3,Moji
20180622 222742,4,Grover
20180622 222742,5,Bomb King
20180622 222742,6,Jenos
20180622 222742,7,Makoa
20180622 222742,8,Kinessa
20180622 222742,9,Evie
20180622 223951,0,Kinessa
20180622 223951,1,Inara
20180622 223951,2,Zhin
20180622 223951,3,Pip
20180622 223951,4,Cassie
20180622 223951,5,Tyra
20180622 223951,6,Lian
20180622 223951,7,Moji
20180622 223951,8,Barik
20180622 223951,9,Furia
20180622 225702,0,Fernando
20180622 225702,1,Evie
20180622 225702,2,Seris
20180622 225702,3,Cassie
20180622 225702,4,Bomb King
20180622 225702,5,Strix
20180622 225702,6,Lian
20180622 225702,7,Furia
20180622 225702,8,Androxus
20180622 225702,9,Willo
20180622 231821,0,Skye
20180622 231821,1,Furia
20180622 231821,2,Drogoz
20180622 231821,3,Khan
20180622 231821,4,Cassie
20180622 231821,5,Viktor
20180622 231821,6,Ying
20180622 231821,7,Grover
20180622 231821,8,Pip
20180622 231821,9,Seris
20180622 232724,0,Drogoz
20180622 232724,1,Makoa
20180622 232724,2,Furia
20180622 232724,3,Cassie
20180622 232724,4,Evie
20180622 232724,5,Sha Lin
20180622 232724,6,Khan
20180622 232724,7,Jenos
20180622 232724,8,Lex
20180622 232724,9,Kinessa
20180622 234343,0,Khan
20180622 234343,1,Drogoz
20180622 234343,2,Ying
20180622 234343,3,Cassie
20180622 234343,4,Bomb King
20180622 234343,5,Inara
20180622 234343,6,Androxus
20180622 234343,7,Zhin
20180622 234343,8,Tyra
20180622 234343,9,Seris
20180623 000418,0,Cassie
20180623 000418,1,Khan
20180623 000418,2,Drogoz
20180623 000418,3,Pip
20180623 000418,4,Zhin
20180623 000418,5,Pip
20180623 000418,6,Terminus
20180623 000418,7,Cassie
20180623 000418,8,Furia
20180623 000418,9,Tyra
20180623 001627,0,Ruckus
20180623 001627,1,Bomb King
20180623 001627,2,Furia
20180623 001627,3,Lex
20180623 001627,4,Sha Lin
20180623 001627,5,Zhin
20180623 001627,6,Bomb King
20180623 001627,7,Drogoz
20180623 001627,8,Strix
20180623 001627,9,Cassie
20180623 120049,0,Jenos
20180623 120049,1,Cassie
20180623 120049,2,Makoa
20180623 120049,3,Furia
20180623 120049,4,Viktor
20180623 120049,5,Maeve
20180623 120049,6,Bomb King
20180623 120049,7,Lex
20180623 120049,8,Ying
20180623 120049,9,Furia
20180623 122151,0,Fernando
20180623 122151,1,Buck
20180623 122151,2,Cassie
20180623 122151,3,Furia
20180623 122151,4,Viktor
20180623 122151,5,Zhin
20180623 122151,6,Grohk
20180623 122151,7,Grover
20180623 122151,8,Willo
20180623 122151,9,Terminus
20180623 124644,0,Furia
20180623 124644,1,Androxus
20180623 124644,2,Ash
20180623 124644,3,Cassie
20180623 124644,4,Skye
20180623 124644,5,Mal'Damba
20180623 124644,6,Vivian
20180623 124644,7,Barik
20180623 124644,8,Zhin
20180623 124644,9,Kinessa
20180623 130035,0,Khan
20180623 130035,1,Drogoz
20180623 130035,2,Grover
20180623 130035,3,Buck
20180623 130035,4,Cassie
20180623 130035,5,Lian
20180623 130035,6,Ash
20180623 130035,7,Tyra
20180623 130035,8,Lex
20180623 130035,9,Willo
20180623 131227,0,Pip
20180623 131227,1,Cassie
20180623 131227,2,Jenos
20180623 131227,3,Zhin
20180623 131227,4,Makoa
20180623 131227,5,Viktor
20180623 131227,6,Lex
20180623 131227,7,Jenos
20180623 131227,8,Lian
20180623 131227,9,Cassie
20180623 132326,0,Grover
20180623 132326,1,Bomb King
20180623 132326,2,Cassie
20180623 132326,3,Zhin
20180623 132326,4,Furia
20180623 132326,5,Lex
20180623 132326,6,Makoa
20180623 132326,7,Viktor
20180623 132326,8,Jenos
20180623 132326,9,Grover
20180623 144803,0,Cassie
20180623 144803,1,Vivian
20180623 144803,2,Jenos
20180623 144803,3,Bomb King
20180623 144803,4,Ruckus
20180623 144803,5,Vivian
20180623 144803,6,Ruckus
20180623 144803,7,Maeve
20180623 144803,8,Zhin
20180623 144803,9,Ying
20180623 150410,0,Cassie
20180623 150410,1,Furia
20180623 150410,2,Inara
20180623 150410,3,Lex
20180623 150410,4,Viktor
20180623 150410,5,Strix
20180623 150410,6,Terminus
20180623 150410,7,Talus
20180623 150410,8,Grover
20180623 150410,9,Evie
20180623 151444,0,Ruckus
20180623 151444,1,Furia
20180623 151444,2,Seris
20180623 151444,3,Maeve
20180623 151444,4,Cassie
20180623 151444,5,Terminus
20180623 151444,6,Zhin
20180623 151444,7,Lian
20180623 151444,8,Ying
20180623 151444,9,Evie
20180623 153544,0,Ash
20180623 153544,1,Jenos
20180623 153544,2,Furia
20180623 153544,3,Sha Lin
20180623 153544,4,Cassie
20180623 153544,5,Fernando
20180623 153544,6,Strix
20180623 153544,7,Willo
20180623 153544,8,Makoa
20180623 153544,9,Evie
20180623 154812,0,Cassie
20180623 154812,1,Fernando
20180623 154812,2,Jenos
20180623 154812,3,Maeve
20180623 154812,4,Lian
20180623 154812,5,Khan
20180623 154812,6,Skye
20180623 154812,7,Androxus
20180623 154812,8,Sha Lin
20180623 154812,9,Evie
20180623 160207,0,Maeve
20180623 160207,1,Bomb King
20180623 160207,2,Furia
20180623 160207,3,Skye
20180623 160207,4,Cassie
20180623 160207,5,Makoa
20180623 160207,6,Furia
20180623 160207,7,Talus
20180623 160207,8,Viktor
20180623 160207,9,Bomb King
20180623 161842,0,Zhin
20180623 161842,1,Furia
20180623 161842,2,Cassie
20180623 161842,3,Lian
20180623 161842,4,Fernando
20180623 161842,5,Maeve
20180623 161842,6,Jenos
20180623 161842,7,Sha Lin
20180623 161842,8,Makoa
20180623 161842,9,Lian
20180623 163141,0,Moji
20180623 163141,1,Viktor
20180623 163141,2,Furia
20180623 163141,3,Makoa
20180623 163141,4,Cassie
20180623 163141,5,Lex
20180623 163141,6,Inara
20180623 163141,7,Makoa
20180623 163141,8,Pip
20180623 163141,9,Androxus
20180623 194134,0,Androxus
20180623 194134,1,Furia
20180623 194134,2,Ruckus
20180623 194134,3,Sha Lin
20180623 194134,4,Cassie
20180623 194134,5,Lex
20180623 194134,6,Viktor
20180623 194134,7,Willo
20180623 194134,8,Terminus
20180623 194134,9,Evie
20180623 195547,0,Furia
20180623 195547,1,Maeve
20180623 195547,2,Makoa
20180623 195547,3,Willo
20180623 195547,4,Cassie
20180623 195547,5,Grohk
20180623 195547,6,Maeve
20180623 195547,7,Inara
20180623 195547,8,Lian
20180623 195547,9,Lian
20180623 201446,0,Cassie
20180623 201446,1,Inara
20180623 201446,2,Bomb King
20180623 201446,3,Ying
20180623 201446,4,Zhin
20180623 201446,5,Mal'Damba
20180623 201446,6,Androxus
20180623 201446,7,Khan
20180623 201446,8,Viktor
20180623 201446,9,Lian
20180623 202612,0,Seris
20180623 202612,1,Maeve
20180623 202612,2,Ruckus
20180623 202612,3,Kinessa
20180623 202612,4,Drogoz
20180623 202612,5,Tyra
20180623 202612,6,Jenos
20180623 202612,7,Cassie
20180623 202612,8,Barik
20180623 202612,9,Maeve
20180623 204057,0,Skye
20180623 204057,1,Jenos
20180623 204057,2,Makoa
20180623 204057,3,Maeve
20180623 204057,4,Vivian
20180623 204057,5,Seris
20180623 204057,6,Terminus
20180623 204057,7,Cassie
20180623 204057,8,Lex
20180623 204057,9,Evie
20180623 205301,0,Torvald
20180623 205301,1,Kinessa
20180623 205301,2,Ying
20180623 205301,3,Cassie
20180623 205301,4,Khan
20180623 205301,5,Strix
20180623 205301,6,Skye
20180623 205301,7,Ying
20180623 205301,8,Lex
20180623 205301,9,Evie
20180623 210545,0,Inara
20180623 210545,1,Grohk
20180623 210545,2,Cassie
20180623 210545,3,Furia
20180623 210545,4,Zhin
20180623 210545,5,Khan
20180623 210545,6,Inara
20180623 210545,7,Mal'Damba
20180623 210545,8,Bomb King
20180623 210545,9,Pip
20180623 211813,0,Grover
20180623 211813,1,Drogoz
20180623 211813,2,Buck
20180623 211813,3,Cassie
20180623 211813,4,Torvald
20180623 211813,5,Khan
20180623 211813,6,Evie
20180623 211813,7,Ying
20180623 211813,8,Viktor
20180623 211813,9,Maeve
20180623 231512,0,Moji
20180623 231512,1,Inara
20180623 231512,2,Jenos
20180623 231512,3,Lian
20180623 231512,4,Pip
20180623 231512,5,Grover
20180623 231512,6,Lex
20180623 231512,7,Cassie
20180623 231512,8,Seris
20180623 231512,9,Grohk
20180623 233404,0,Ash
20180623 233404,1,Strix
20180623 233404,2,Jenos
20180623 233404,3,Lian
20180623 233404,4,Buck
20180623 233404,5,Strix
20180623 233404,6,Talus
20180623 233404,7,Ruckus
20180623 233404,8,Bomb King
20180623 233404,9,Furia
20180623 234710,0,Ruckus
20180623 234710,1,Inara
20180623 234710,2,Jenos
20180623 234710,3,Lian
20180623 234710,4,Pip
20180623 234710,5,Moji
20180623 234710,6,Androxus
20180623 234710,7,Furia
20180623 234710,8,Khan
20180623 234710,9,Kinessa
20180624 000016,0,Lian
20180624 000016,1,Jenos
20180624 000016,2,Viktor
20180624 000016,3,Pip
20180624 000016,4,Maeve
20180624 000016,5,Khan
20180624 000016,6,Ying
20180624 000016,7,Jenos
20180624 000016,8,Buck
20180624 000016,9,Cassie
20180624 002202,0,Lian
20180624 002202,1,Seris
20180624 002202,2,Cassie
20180624 002202,3,Inara
20180624 002202,4,Pip
20180624 002202,5,Sha Lin
20180624 002202,6,Talus
20180624 002202,7,Inara
20180624 002202,8,Furia
20180624 002202,9,Tyra
20180624 003825,0,Cassie
20180624 003825,1,Tyra
20180624 003825,2,Lian
20180624 003825,3,Khan
20180624 003825,4,Seris
20180624 003825,5,Viktor
20180624 003825,6,Terminus
20180624 003825,7,Maeve
20180624 003825,8,Seris
20180624 003825,9,Strix
20180624 005202,0,Jenos
20180624 005202,1,Drogoz
20180624 005202,2,Khan
20180624 005202,3,Lian
20180624 005202,4,Pip
20180624 005202,5,Cassie
20180624 005202,6,Grohk
20180624 005202,7,Furia
20180624 005202,8,Maeve
20180624 005202,9,Ash
20180624 010235,0,Cassie
20180624 010235,1,Ying
20180624 010235,2,Lian
20180624 010235,3,Khan
20180624 010235,4,Evie
20180624 010235,5,Grohk
20180624 010235,6,Talus
20180624 010235,7,Strix
20180624 010235,8,Barik
20180624 010235,9,Maeve
20180624 011333,0,Lian
20180624 011333,1,Khan
20180624 011333,2,Jenos
20180624 011333,3,Maeve
20180624 011333,4,Pip
20180624 011333,5,Strix
20180624 011333,6,Lex
20180624 011333,7,Jenos
20180624 011333,8,Sha Lin
20180624 011333,9,Bomb King
20180624 012757,0,Khan
20180624 012757,1,Cassie
20180624 012757,2,Lian
20180624 012757,3,Ying
20180624 012757,4,Zhin
20180624 012757,5,Maeve
20180624 012757,6,Ying
20180624 012757,7,Cassie
20180624 012757,8,Strix
20180624 012757,9,Inara
20180624 020953,0,Pip
20180624 020953,1,Jenos
20180624 020953,2,Ying
20180624 020953,3,Khan
20180624 020953,4,Lian
20180624 020953,5,Furia
20180624 020953,6,Terminus
20180624 020953,7,Androxus
20180624 020953,8,Moji
20180624 020953,9,Tyra
20180624 022000,0,Jenos
20180624 022000,1,Ash
20180624 022000,2,Zhin
20180624 022000,3,Viktor
20180624 022000,4,Lian
20180624 022000,5,Lex
20180624 022000,6,Makoa
20180624 022000,7,Jenos
20180624 022000,8,Maeve
20180624 022000,9,Sha Lin
20180624 023238,0,Drogoz
20180624 023238,1,Ying
20180624 023238,2,Zhin
20180624 023238,3,Makoa
20180624 023238,4,Lian
20180624 023238,5,Cassie
20180624 023238,6,Barik
20180624 023238,7,Kinessa
20180624 023238,8,Drogoz
20180624 023238,9,Buck
20180624 024149,0,Buck
20180624 024149,1,Ash
20180624 024149,2,Lian
20180624 024149,3,Pip
20180624 024149,4,Jenos
20180624 024149,5,Cassie
20180624 024149,6,Furia
20180624 024149,7,Moji
20180624 024149,8,Khan
20180624 024149,9,Skye
20180624 025240,0,Lian
20180624 025240,1,Ash
20180624 025240,2,Cassie
20180624 025240,3,Evie
20180624 025240,4,Grover
20180624 025240,5,Vivian
20180624 025240,6,Skye
20180624 025240,7,Talus
20180624 025240,8,Maeve
20180624 025240,9,Pip
20180624 030621,0,Lian
20180624 030621,1,Seris
20180624 030621,2,Jenos
20180624 030621,3,Androxus
20180624 030621,4,Ash
20180624 030621,5,Strix
20180624 030621,6,Tyra
20180624 030621,7,Androxus
20180624 030621,8,Furia
20180624 030621,9,Makoa
20180624 031607,0,Lian
20180624 031607,1,Zhin
20180624 031607,2,Jenos
20180624 031607,3,Tyra
20180624 031607,4,Pip
20180624 031607,5,Evie
20180624 031607,6,Strix
20180624 031607,7,Bomb King
20180624 031607,8,Viktor
20180624 031607,9,Furia
20180624 032854,0,Grover
20180624 032854,1,Jenos
20180624 032854,2,Lian
20180624 032854,3,Androxus
20180624 032854,4,Ash
20180624 032854,5,Inara
20180624 032854,6,Strix
20180624 032854,7,Seris
20180624 032854,8,Cassie
20180624 032854,9,Talus
20180624 034201,0,Drogoz
20180624 034201,1,Pip
20180624 034201,2,Inara
20180624 034201,3,Jenos
20180624 034201,4,Lian
20180624 034201,5,Lex
20180624 034201,6,Strix
20180624 034201,7,Zhin
20180624 034201,8,Furia
20180624 034201,9,Makoa
20180624 035549,0,Makoa
20180624 035549,1,Bomb King
20180624 035549,2,Seris
20180624 035549,3,Lian
20180624 035549,4,Tyra
20180624 035549,5,Inara
20180624 035549,6,Drogoz
20180624 035549,7,Zhin
20180624 035549,8,Furia
20180624 035549,9,Jenos
